pc4,gemeente,inwoners,dist_nearest_pon_km,score,policy_index,score_policy,S_dem
6291,Vaals,7900.0,13.170364101738516,1.8305084745762712,0.0,1.8305084745762712,1.8305084745762712
3253,Ouddorp,6295.0,14.61637559870337,1.7288135593220337,0.0,1.7288135593220337,1.7288135593220337
1771,Wieringerwerf,6120.0,12.571441471230113,1.6779661016949152,0.0,1.6779661016949152,1.6779661016949152
6301,Valkenburg,10530.0,9.870531207002575,1.6610169491525424,0.0,1.6610169491525424,1.6610169491525424
4561,Hulst,9930.0,10.33744595510585,1.6440677966101696,0.0,1.6440677966101696,1.6440677966101696
8131,Wijhe,8400.0,10.383978834551053,1.6271186440677967,0.0,1.6271186440677967,1.6271186440677967
1777,Hippolytushoef,5165.0,17.30589574032254,1.6271186440677967,0.0,1.6271186440677967,1.6271186440677967
7711,Nieuwleusen,9515.0,9.604658583647636,1.542372881355932,0.0,1.542372881355932,1.542372881355932
6039,Stramproy,5295.0,10.716632932750224,1.440677966101695,0.0,1.440677966101695,1.440677966101695
8316,Marknesse,3995.0,11.524809202784795,1.3898305084745763,0.0,1.3898305084745763,1.3898305084745763
4501,Oostburg,4645.0,10.607331296287136,1.3898305084745761,0.0,1.3898305084745761,1.3898305084745761
8801,Franeker,7000.0,9.235036191315626,1.3559322033898304,0.0,1.3559322033898304,1.3559322033898304
8391,Noordwolde,3625.0,12.166583475989603,1.3389830508474576,0.0,1.3389830508474576,1.3389830508474576
7963,Ruinen,3665.0,11.256392137361253,1.288135593220339,0.0,1.288135593220339,1.288135593220339
8711,Workum,4585.0,9.661137916930542,1.2372881355932204,0.0,1.2372881355932204,1.2372881355932204
3958,Amerongen,5500.0,9.176326509604364,1.2203389830508473,0.0,1.2203389830508473,1.2203389830508473
4564,Sint Jansteen,3190.0,12.136016073470824,1.2033898305084747,0.0,1.2033898305084747,1.2033898305084747
3241,Middelharnis,7725.0,8.354030840760613,1.2033898305084745,0.0,1.2033898305084745,1.2033898305084745
3774,Kootwijkerbroek,5840.0,8.766685565665872,1.1864406779661016,0.0,1.1864406779661016,1.1864406779661016
8141,Heino,7315.0,8.25599314730409,1.1355932203389831,0.0,1.1355932203389831,1.1355932203389831
8433,Haulerwijk,3195.0,10.737670440554627,1.11864406779661,0.0,1.11864406779661,1.11864406779661
3956,Leersum,7730.0,8.125418952985921,1.11864406779661,0.0,1.11864406779661,1.11864406779661
9161,Hollum,1305.0,18.397429502686126,1.1016949152542372,0.0,1.1016949152542372,1.1016949152542372
