radius_km,covered_pop,total_pop,coverage_pct,pc4_covered,pc4_total
5.0,9418460,10190490,0.9242401493941901,1206,1356
7.5,9920270,10190490,0.9734831200462392,1297,1356
10.0,10109365,10190490,0.9920391463020914,1337,1356
12.0,10156890,10190490,0.9967028082064748,1349,1356
15.0,10184020,10190490,0.9993650943183301,1354,1356
