gemeente,pop_total,hh_total,pon_dealers,total_dealers,pon_share,dealers_per_100k,pon_dealers_per_100k,coverage_category,market_size_score,kids_0_15_pct,age_25_44_pct,income_norm,density_norm,cluster
's-Gravendeel,9305.0,3990.0,1,1,1.0,10.746910263299302,10.746910263299302,High_Coverage,0.014836251155967983,0.15744223535733476,0.2353573347662547,0.1373152709359606,0.08428304133356013,1
's-Gravenzande,18515.0,8165.0,2,4,0.5,21.60410477990818,10.80205238995409,High_Coverage,0.029521030645109858,0.1745987664382262,0.27393024583470205,0.1961206896551724,0.1313573737030107,0
's-Heerenberg,8600.0,4035.0,1,2,0.5,23.255813953488374,11.627906976744187,High_Coverage,0.013712171944258427,0.14186046511627906,0.22267441860465118,0.08251231527093596,0.08470828372172139,1
's-Hertogenbosch,61145.0,33290.0,7,13,0.5384615384615384,21.260937116689835,11.448196908986835,High_Coverage,0.09749194808507924,0.1379863214062412,0.2982092093696335,0.2075892857142857,0.19590916822588875,2
't Harde,7045.0,2815.0,0,1,0.0,14.194464158978,0.0,Underserved,0.011232819924104723,0.18523775727466288,0.23988644428672817,0.14839901477832512,0.05808811022282701,1
't Zand,2620.0,1055.0,0,1,0.0,38.16793893129771,0.0,Underserved,0.004177429127204311,0.17938931297709923,0.24236641221374045,0.13854679802955666,0.025344446334410613,1
Aagtekerke,1465.0,525.0,1,1,1.0,68.25938566552901,68.25938566552901,High_Coverage,0.0023358525463184412,0.21160409556313994,0.20819112627986347,0.1687192118226601,0.012842320122469808,0
Aalsmeer,23835.0,10395.0,1,3,0.3333333333333333,12.586532410320956,4.195510803440318,Good_Coverage,0.03800344398737204,0.1561585442873118,0.21781053284359517,0.2623152709359606,0.08364517775131824,0
Aalten,16045.0,6820.0,2,3,0.6666666666666666,18.697413524462448,12.464942349641632,High_Coverage,0.025582767307630983,0.15232468253875767,0.20695112903163154,0.13669950738916256,0.06931450927028407,1
Aarle-Rixtel,5845.0,2465.0,0,1,0.0,17.108639863130882,0.0,Underserved,0.009319493606301221,0.13857998289136014,0.19161676646706588,0.1896551724137931,0.05153937744514373,1
Abcoude,8295.0,3415.0,1,2,0.5,24.110910186859556,12.055455093429778,High_Coverage,0.013225868171816703,0.19650391802290537,0.19168173598553345,0.3762315270935961,0.07365198162952884,0
Achterveld,2655.0,1175.0,1,1,1.0,37.664783427495294,37.664783427495294,High_Coverage,0.004233234478140247,0.12429378531073447,0.19962335216572505,0.24322660098522167,0.02866133696206838,4
Aduard,2240.0,1000.0,0,1,0.0,44.64285714285714,0.0,Underserved,0.003571542459899869,0.15401785714285715,0.21875,0.10344827586206896,0.025259397856778363,1
Akersloot,5075.0,2125.0,1,1,1.0,19.704433497536947,19.704433497536947,High_Coverage,0.008091775885710641,0.14876847290640394,0.21083743842364533,0.2210591133004926,0.04499064466746045,4
Akkrum,3320.0,1485.0,0,1,0.0,30.120481927710845,0.0,Underserved,0.005293536145923021,0.14909638554216867,0.19728915662650603,0.11576354679802955,0.04448035380166695,1
Alblasserdam,16460.0,6960.0,2,2,1.0,12.150668286755772,12.150668286755772,High_Coverage,0.026244459325871362,0.19217622658918204,0.24274924477353627,0.12346059113300493,0.1291461132845722,1
Aldtsjerk,670.0,300.0,0,1,0.0,149.2537313432836,0.0,Underserved,0.0010682738607736217,0.15671641791044777,0.22388059701492538,0.13238916256157635,0.008164653852696036,1
Alkmaar,41175.0,20905.0,4,9,0.4444444444444444,21.85792349726776,9.714632665452337,High_Coverage,0.06565100927963265,0.12479393653490924,0.274944486385693,0.13495484400656813,0.20413052106367294,2
Almelo,16310.0,7610.0,3,5,0.6,30.656039239730227,18.393623543838135,High_Coverage,0.02600529353614592,0.15362240595140209,0.2694341316796469,0.08661740558292282,0.17131598344389634,2
Almere,56925.0,25355.0,5,10,0.5,17.56697408871322,8.78348704435661,High_Coverage,0.0907634172008036,0.16333847950755842,0.3154896075328663,0.14154864532019704,0.1496569711402166,1
Alphen,4345.0,1785.0,1,2,0.5,46.029919447640964,23.014959723820482,High_Coverage,0.006927835709046845,0.15535097813578827,0.21058688147295743,0.1933497536945813,0.03384929409763565,4
Alphen aan den Rijn,59295.0,26285.0,6,7,0.8571428571428571,11.805379880259718,10.118897040222615,High_Coverage,0.09454223667846551,0.16197904321441653,0.2603902184696758,0.15344827586206894,0.22246980779044057,1
Altforst,625.0,255.0,0,1,0.0,160.0,0.0,Underserved,0.0009965241238559903,0.16,0.208,0.23029556650246305,0.004762714747406021,4
