name,brand,website,google_place_id,house_number,street,country,postal_code,google_name,google_address,google_rating,google_user_ratings_total,google_lat,google_lng,google_link
Piet de Wit Tweewielers BV,giant,www.pietdewit.nl,ChIJk8FjrGr8xUcRMp9NcoK_BHA,15,Samsonweg,Netherlands,1521 RA,Piet De Wit Tweewielers BV,"Samsonweg 15, 1521 RA Wormerveer, Netherlands",4.5,134,52.5052781,4.7819875,https://www.google.com/maps/place/?q=place_id:ChIJk8FjrGr8xUcRMp9NcoK_BHA
Terpstra Fietsen,giant,www.terpstra-fietsen.nl,ChIJDfGi2-U3yEcRnCyjE-0xS0Q,23,Hoofdweg Boven,Netherlands,8433 LB,Terpstra Fietsen,"Hoofdweg Boven 23, 8433 LB Haulerwijk, Netherlands",4.9,11,53.0658008,6.3275939,https://www.google.com/maps/place/?q=place_id:ChIJDfGi2-U3yEcRnCyjE-0xS0Q
RB Fietsen,giant,www.rbfietsen.nl,ChIJ78HSHcWZxkcRA0q6mXy0G-c,91,Geer,Netherlands,5104 HE,RB Fietsen,"Geer 91, 5104 HE Dongen, Netherlands",4.8,31,51.6250575,4.9376438,https://www.google.com/maps/place/?q=place_id:ChIJ78HSHcWZxkcRA0q6mXy0G-c
Het Zwarte Fietsenplan,giant,www.hetzwartefietsenplan.nl,ChIJFZiNcAUKxkcRLRzzC2JJaxY,118,Gustav Mahlerplein,Netherlands,1082 MA,Het Zwarte Fietsenplan Zuidas,"Gustav Mahlerplein 118, 1082 MA Amsterdam, Netherlands",3.3,136,52.3363108,4.8731557,https://www.google.com/maps/place/?q=place_id:ChIJFZiNcAUKxkcRLRzzC2JJaxY
Cash en Carry Eindhoven,giant,www.rijwielcashencarry.nl,ChIJFTKk5O7YxkcRX6GdrnVw9q0,250,Tongelresestraat,Netherlands,5613 DV,Bicycle Cash and Carry Eindhoven,"Tongelresestraat 250, 5613 DV Eindhoven, Netherlands",4.6,138,51.4421039,5.5011670,https://www.google.com/maps/place/?q=place_id:ChIJFTKk5O7YxkcRX6GdrnVw9q0
Giant Store Ivo Jansen,giant,www.giantstore-jansen.nl,ChIJ_y0mNzkpyEcR1lzvSqkB11Y,65,Stationsweg,Netherlands,9471 GL,Jansen Tweewielers,"Stationsweg 65, 9471 GL Zuidlaren, Netherlands",4.6,28,53.0918189,6.6783876,https://www.google.com/maps/place/?q=place_id:ChIJ_y0mNzkpyEcR1lzvSqkB11Y
Kokkie Bikes,giant,www.kokkiebikes.nl,ChIJiZ54woLkx0cRGwsyE0qP7yQ,31,Kerkstraat,Netherlands,8151 AP,KokkieBikes,"Kerkstraat 31, 8151 AP Lemelerveld, Netherlands",4.6,76,52.4451896,6.3517151,https://www.google.com/maps/place/?q=place_id:ChIJiZ54woLkx0cRGwsyE0qP7yQ
Giant Store Slager,giant,www.giantstore-slager.nl,ChIJl-Up7tY6yEcR0XaGryUckHY,103,Rondgang,Netherlands,9408 MC,Giant Store Slager,"Rondgang 103, 9408 MC Assen, Netherlands",4.7,105,52.9998513,6.5137441,https://www.google.com/maps/place/?q=place_id:ChIJl-Up7tY6yEcR0XaGryUckHY
Brouwer bike store,giant,www.benbrouwerlent.nl,ChIJeyzkaTkIx0cRqswWOsqEE1A,13a,Lentse Tuinstraat,Netherlands,6663 BG,Ben Brouwer Bike Shop Lent,"Lentse Tuinstraat 13a, 6663 BG Nijmegen, Netherlands",4.2,73,51.8585305,5.8675071,https://www.google.com/maps/place/?q=place_id:ChIJeyzkaTkIx0cRqswWOsqEE1A
Bike Totaal Steven Koelewijn Spakenburg,giant,www.stevenkoelewijn.nl,ChIJ30Sj5a04xkcR95JVHm2amBo,82,Zuidwenk,Netherlands,3751 CG,Bike Total Steven Koelewijn Spakenburg,"Zuidwenk 82, 3751 CG Bunschoten-Spakenburg, Netherlands",4.7,66,52.2486702,5.3844406,https://www.google.com/maps/place/?q=place_id:ChIJ30Sj5a04xkcR95JVHm2amBo
