name,brand,website,google_place_id,house_number,street,country,postal_code,google_name,google_address,google_rating,google_user_ratings_total,google_lat,google_lng,google_link
Fietsspecialist Van Den Driest B.V.,batavus,http://www.profilevandendriest.nl,ChIJx0nY7NmQxEcR0EAlL2Fd19E,22,Zusterstraat,Netherlands,4331 KK,Profile van den Driest,"Zusterstraat 22, 4331 KK Middelburg, Netherlands",4.4,52,51.4971917,3.6117129,https://www.google.com/maps/place/?q=place_id:ChIJx0nY7NmQxEcR0EAlL2Fd19E
Kiestra Fietsenwinkel B.V.,batavus,,ChIJHT3BDFUXxkcR-d9AVlZz1rM,1,Boomgaardweg,Netherlands,1326 CS,Kiestra Fietsenwinkel,"Boomgaardweg 1, 1326 CS Almere, Netherlands",4.1,46,52.3739747,5.2377147,https://www.google.com/maps/place/?q=place_id:ChIJHT3BDFUXxkcR-d9AVlZz1rM
Meinsma Fietsen,batavus,http://www.meinsma-fietsen.nl,ChIJuYEHsL1IyEcRDxcYuKyi284,8,Duerswâld,Netherlands,9241 GX,Meinsma Fietsen,"Duerswâld 8, 9241 GX Wijnjewoude, Netherlands",4.6,28,53.0695081,6.2310989,https://www.google.com/maps/place/?q=place_id:ChIJuYEHsL1IyEcRDxcYuKyi284
De Mooij Fietsen,batavus,http://www.keesdemooij.nl,ChIJy7lr6MRsxEcRZAPnvKWU6ak,43,Zuid-Oostsingel,Netherlands,4611 BC,De Mooij fietsen,"Zuid-Oostsingel 43, 4611 BC Bergen op Zoom, Netherlands",4.6,111,51.4906397,4.2896629,https://www.google.com/maps/place/?q=place_id:ChIJy7lr6MRsxEcRZAPnvKWU6ak
Tweewielerservice Van Der Zande B.V.,batavus,http://www.tweewielerservice.com,ChIJbbL_PptpxEcRDAOuymuZZGY,53,Kalisbuurt,Netherlands,4698 CP,Tweewielerservice Van der Zande B.V.,"Kalisbuurt 53, 4698 CP Oud-Vossemeer, Netherlands",4.5,34,51.5729188,4.2030240,https://www.google.com/maps/place/?q=place_id:ChIJbbL_PptpxEcRDAOuymuZZGY
Fietsvoordeelshop.Nl -Zoeterwoude,batavus,https://www.fietsvoordeelshop.nl/,ChIJKbgEVdjFxUcRVjutdv9f1YY,293 A,Hoge Rijndijk,Netherlands,2382 AN,Fietsvoordeelshop.nl - Hoge Rijndijk Zoeterwoude,"Hoge Rijndijk 293 A, 2382 AN Zoeterwoude, Netherlands",4.9,34,52.1397635,4.5457570,https://www.google.com/maps/place/?q=place_id:ChIJKbgEVdjFxUcRVjutdv9f1YY
Fietswereld Dittrich,batavus,http://www.fietswerelddittrich.nl,ChIJ1-r3rFXTyUcRGtvADaXUVS4,1,Bieleveldslaan,Netherlands,9614 TA,Fietswereld Dittrich,"Bieleveldslaan 1, 9614 TA Harkstede, Netherlands",4.9,55,53.2065625,6.6825243,https://www.google.com/maps/place/?q=place_id:ChIJ1-r3rFXTyUcRGtvADaXUVS4
Nobel Tweewielers V.O.F.,batavus,,ChIJeRy-sxSExkcRo3zKlAQaZe0,9,Kruisstraat,Netherlands,4251 CT,Nobel Tweewielers V.O.F.,"Kruisstraat 9, 4251 CT Werkendam, Netherlands",4.8,56,51.8141707,4.8967599,https://www.google.com/maps/place/?q=place_id:ChIJeRy-sxSExkcRo3zKlAQaZe0
Fietsvoordeelshop.Nl -Rijswijk,batavus,https://www.fietsvoordeelshop.nl/,ChIJqZISWwy3xUcRTOj31izGnI4,265,Steenvoordelaan,Netherlands,2284 CM,Fietsvoordeelshop.nl - Rijswijk,"Steenvoordelaan 265, 2284 CM Rijswijk, Netherlands",4.3,27,52.0380278,4.3165029,https://www.google.com/maps/place/?q=place_id:ChIJqZISWwy3xUcRTOj31izGnI4
Prof BikeS,batavus,,ChIJ22oLGHMzxEcR9GsF57QM0z4,56,Pretorialaan,Netherlands,3072 EP,Prof Bike's,"Pretorialaan 56, 3072 EP Rotterdam, Netherlands",4.6,90,51.9007562,4.4985884,https://www.google.com/maps/place/?q=place_id:ChIJ22oLGHMzxEcR9GsF57QM0z4
Tweewielercentrum Giezen,batavus,http://www.giezentweewielers.nl,ChIJj0FSXc3MyUcRYP7-cfs1iyg,22,Middenweg,Netherlands,9745 BN,Giezen Tweewielers Hoogkerk,"Middenweg 22, 9745 BN Groningen, Netherlands",4.8,59,53.2148314,6.5038845,https://www.google.com/maps/place/?q=place_id:ChIJj0FSXc3MyUcRYP7-cfs1iyg
W.L. Zeelen Rijwielverhuur B.V.,batavus,http://www.zeelenfiets.nl,ChIJKf1uT44lyUcR62uXKt28-rw,30,Heereweg,Netherlands,8891 HT,W.L. Zeelen Rijwielverhuur b.v,"Heereweg 30, 8891 HT Midsland, Netherlands",4.2,48,53.3891660,5.2848896,https://www.google.com/maps/place/?q=place_id:ChIJKf1uT44lyUcR62uXKt28-rw
Budgetfietsen.Mierlo Vof,batavus,http://www.budgetfietsen.nl,ChIJAYJJRbwmx0cRa3Hu06YsU80,100,Dorpsstraat,Netherlands,5731 JK,Budgetfietsen.mierlo,"Dorpsstraat 100, 5731 JK Mierlo, Netherlands",4.0,65,51.4432284,5.6129387,https://www.google.com/maps/place/?q=place_id:ChIJAYJJRbwmx0cRa3Hu06YsU80
Fytsmakkerij Scheltema V.O.F.,batavus,fietsenwinkels/friesland/workum/fytsmakkerij-scheltema,ChIJN2CTJWjqyEcRyuJNNH930fk,74,Súd,Netherlands,8711 CW,Fytsmakkerij Scheltema vof,"Súd 74, 8711 CW Workum, Netherlands",5.0,25,52.9773406,5.4399982,https://www.google.com/maps/place/?q=place_id:ChIJN2CTJWjqyEcRyuJNNH930fk
Paul Tweewielers,batavus,fietsenwinkels/zuid-holland/katwijk/profile-paul-de-fietsspecialist,ChIJNXQyADa_xUcR-0qrl1uWWSw,1,Drieplassenweg,Netherlands,2225 JH,profile Paul,"Drieplassenweg 1, 2225 JH Katwijk aan Zee, Netherlands",4.8,108,52.2001504,4.3918856,https://www.google.com/maps/place/?q=place_id:ChIJNXQyADa_xUcR-0qrl1uWWSw
Bike Totaal Kramer Appelscha,batavus,http://www.fietsservice.nl,ChIJ8xS3kSg_yEcRB6KTijTsIAc,12,Boerestreek,Netherlands,8426 BP,Bike Totaal & Fietsverhuur Kramer Appelscha,"Boerestreek 12, 8426 BP Appelscha, Netherlands",4.6,186,52.9532110,6.3410625,https://www.google.com/maps/place/?q=place_id:ChIJ8xS3kSg_yEcRB6KTijTsIAc
Nomen Tweewielers V.O.F.,batavus,http://www.nomenfietsen.nl,ChIJMWoOw9rWxUcRy4TdLMrX2xc,29,Raadhuisweg,Netherlands,2811 HT,Bike Totaal Nomen Tweewielers - Fietsenwinkel en fietsreparatie,"Raadhuisweg 29, 2811 HT Reeuwijk, Netherlands",4.7,59,52.0447816,4.7221695,https://www.google.com/maps/place/?q=place_id:ChIJMWoOw9rWxUcRy4TdLMrX2xc
Het Rijwielhuis Van Beek,batavus,,ChIJBZVgxZhGxkcRPhBv834uVro,47,Bloemendalsestraat,Netherlands,3811 ER,Rijwielhuis van Beek,"Bloemendalsestraat 47, 3811 ER Amersfoort, Netherlands",5.0,25,52.1592753,5.3904059,https://www.google.com/maps/place/?q=place_id:ChIJBZVgxZhGxkcRPhBv834uVro
Van Der Veeken De Fietsspecialist Noord B.V.,batavus,http://www.vanderveekenfietsen.nl,ChIJeX_2dl4fxEcRFpG2NyGjDGQ,4,Leursvoetpad,Netherlands,4871 CJ,Van der Veeken Bike Specialist North,"Leursvoetpad 4, 4871 CJ Etten-Leur, Netherlands",4.5,31,51.5863030,4.6535909,https://www.google.com/maps/place/?q=place_id:ChIJeX_2dl4fxEcRFpG2NyGjDGQ
V.O.F. R. Koops Tweewielers,batavus,fietsenwinkels/gelderland/elburg/bike-totaal-r-koops-tweewielers,ChIJTyIPwG_Rx0cRTs8KZmsa_to,14,Westerlengte,Netherlands,8081 PZ,Bike Total R. Koops Tweewielers,"Bedrijventerrein oostendorp, Westerlengte 14, 8081 PZ Elburg, Netherlands",4.3,60,52.4414688,5.8630515,https://www.google.com/maps/place/?q=place_id:ChIJTyIPwG_Rx0cRTs8KZmsa_to
2Wielerreus,batavus,http://www.2wielerreus.nl,ChIJwTkBqUMKuEcRMEH6TRLclpg,1,Da Costastraat,Netherlands,7471 ZM,2wielerreus Goor,"Da Costastraat 1, 7471 ZM Goor, Netherlands",4.6,30,52.2408901,6.5703587,https://www.google.com/maps/place/?q=place_id:ChIJwTkBqUMKuEcRMEH6TRLclpg
Bike Totaal Steven Koelewijn Amersfoort,batavus,http://www.biketotaalamersfoort.nl,ChIJw_uVwzxGxkcR_OF8JajJS7w,275-277,Soesterweg,Netherlands,3812 AJ,Bike Totaal Steven Koelewijn Amersfoort - Fietsenwinkel en fietsreparatie,"Soesterweg 275-277, 3812 AJ Amersfoort, Netherlands",4.3,50,52.1580581,5.3626680,https://www.google.com/maps/place/?q=place_id:ChIJw_uVwzxGxkcR_OF8JajJS7w
Bike Totaal Schulting Tweewielers B.V.,batavus,http://www.schultingtweewielers.nl,ChIJq1vSJBcXxkcR6CnILeEDg58,10-01,Markerkant,Netherlands,1316 AA,Bike Total Schulting Tweewielers,"Markerkant 10-01, 1316 AA Almere, Netherlands",4.5,72,52.3861450,5.2168357,https://www.google.com/maps/place/?q=place_id:ChIJq1vSJBcXxkcR6CnILeEDg58
Stefan Laban Tweewielers,batavus,http://www.hansvanstraalen.nl,ChIJgZsroTrMxUcRJROd5e1xbF8,13,Van Waningstraat,Netherlands,2665 KJ,Hans van Straalen Tweewielers,"Van Waningstraat 13, 2665 KJ Bleiswijk, Netherlands",4.8,109,52.0077815,4.5305763,https://www.google.com/maps/place/?q=place_id:ChIJgZsroTrMxUcRJROd5e1xbF8
De Leeuw Tweewielers,batavus,http://www.deleeuwtweewielers.nl,ChIJVVWVrcQwxkcRIWQQKBnLLdQ,2,Stevinweg,Netherlands,3891 EA,De Leeuw Bicycles,"Stevinweg 2, 3891 EA Zeewolde, Netherlands",5.0,36,52.3323399,5.5421991,https://www.google.com/maps/place/?q=place_id:ChIJVVWVrcQwxkcRIWQQKBnLLdQ
Fyts-Wurk Wibo Koehoorn,batavus,,ChIJa-puW9RRyEcRyOmp0PONRA0,4,Houtlaan,Netherlands,9203 AT,Fyts-Wurk Wibo Koehoorn,"Houtlaan 4, 9203 AT Drachten, Netherlands",4.5,35,53.1083903,6.0982077,https://www.google.com/maps/place/?q=place_id:ChIJa-puW9RRyEcRyOmp0PONRA0
Kroone En Liefting B.V.,batavus,,ChIJB18_gyj4xUcRFVRAKSd5n0I,137,Rijksweg,Netherlands,1906 BG,Rijwielhandel Kroone and Liefting B.V.,"Rijksweg 137, 1906 BG Limmen, Netherlands",4.0,166,52.5776843,4.6956529,https://www.google.com/maps/place/?q=place_id:ChIJB18_gyj4xUcRFVRAKSd5n0I
Piet Lucius Tweewielers B.V.,batavus,http://www.luciustweewielers.nl,ChIJD_qKNLzhxkcRhG-rMNP7jU8,33,Sluisstraat,Netherlands,5462 CA,Piet Lucius Tweewielers,"Sluisstraat 33, 5462 CA Veghel, Netherlands",4.9,75,51.6135239,5.5366818,https://www.google.com/maps/place/?q=place_id:ChIJD_qKNLzhxkcRhG-rMNP7jU8
De Groot Fietsen,batavus,http://www.degrootfietsen.nl,ChIJJ5I5R40lyUcRAXwMInMX9Fc,20,Westerburen,Netherlands,8891 GP,De Groot Fietsen,"Westerburen 20, 8891 GP Midsland, Netherlands",4.8,34,53.3827564,5.2842690,https://www.google.com/maps/place/?q=place_id:ChIJJ5I5R40lyUcRAXwMInMX9Fc
Tweewielercentrum Herman Niburg,batavus,http://www.profileniburg.nl,ChIJe4zQJYsDyEcRNRFAiQ2asbE,82,Herenstraat,Netherlands,7776 AL,Profile Herman Niburg,"Herenstraat 82, 7776 AL Slagharen, Netherlands",4.3,32,52.6297150,6.5506446,https://www.google.com/maps/place/?q=place_id:ChIJe4zQJYsDyEcRNRFAiQ2asbE
Tweewielers Bennie Ten Brincke,batavus,http://www.tweewielerstenbrincke.nl,ChIJjSPW0YoSuEcRoVQJGd3hVzE,48,Windmolenweg,Netherlands,7548 BM,Tweewielers Bennie ten Brincke,"Windmolenweg 48, 7548 BM Enschede, Netherlands",4.9,62,52.2060954,6.8010981,https://www.google.com/maps/place/?q=place_id:ChIJjSPW0YoSuEcRoVQJGd3hVzE
Rijwiel En Scooterpalace A. Donker B.V.,batavus,http://www.adonker.nl,ChIJiehKeMvxxUcR-1e6i3m54WA,30,Marktplein,Netherlands,1972 GB,Bike Totaal Rijwiel en Scooterpalace Donker - Fietsenwinkel en fietsreparatie,"Marktplein 30, 1972 GB IJmuiden, Netherlands",4.3,49,52.4585571,4.6153519,https://www.google.com/maps/place/?q=place_id:ChIJiehKeMvxxUcR-1e6i3m54WA
Michel Van Dijk Tweewielers,batavus,http://www.mvandijktweewielers.nl,ChIJISvG-W_MxUcRVFlK12LEfLY,10,Julianalaan,Netherlands,2661 EL,Michel van Dijk Tweewielers,"Julianalaan 10, 2661 EL Bergschenhoek, Netherlands",4.2,25,51.9888177,4.5022059,https://www.google.com/maps/place/?q=place_id:ChIJISvG-W_MxUcRVFlK12LEfLY
Ster Fietsen,batavus,http://www.ster-fietsen.nl,ChIJwfKcGX0rxEcR-S1WP0NuzQ0,51,Burgemeester van der Willigenstraat,Netherlands,2941 ES,Ster-Fietsen,"Burgemeester van der Willigenstraat 51, 2941 ES Lekkerkerk, Netherlands",4.9,16,51.8960783,4.6853132,https://www.google.com/maps/place/?q=place_id:ChIJwfKcGX0rxEcR-S1WP0NuzQ0
Verstappen Tweewielers B.V.,batavus,http://www.verstappentweewielers.nl,ChIJ5XpbjsU6x0cRVn1BhEj2ERQ,57,Emmastraat,Netherlands,5721 HA,Verstappen Tweewielers,"Emmastraat 57, 5721 HA Asten, Netherlands",4.6,82,51.4021629,5.7511963,https://www.google.com/maps/place/?q=place_id:ChIJ5XpbjsU6x0cRVn1BhEj2ERQ
Van Hoof Fietsen,batavus,http://www.vanhooffietsen.nl,ChIJrQZIjAPGxkcRq-DsD5HrUbs,1,De Hoeve,Netherlands,5534 AC,Van Hoof Fietsen,"De Hoeve 1, 5534 AC Netersel, Netherlands",4.6,18,51.4042988,5.2090975,https://www.google.com/maps/place/?q=place_id:ChIJrQZIjAPGxkcRq-DsD5HrUbs
Fietsvoordeelshop.Nl -Groningen,batavus,http://www.fietsvoordeelshop.nl,ChIJD8n35SLTyUcRwCJZbSufyEg,17,Roskildeweg,Netherlands,9723 MA,Fietsvoordeelshop.nl - Groningen,"Roskildeweg 17, 9723 MA Groningen, Netherlands",3.6,29,53.2138730,6.5885730,https://www.google.com/maps/place/?q=place_id:ChIJD8n35SLTyUcRwCJZbSufyEg
Het Zwarte Fietsenplan Spiegelkwartier,batavus,http://www.hetzwartefietsenplan.nl,ChIJsV54UekJxkcR8L1getsxrGU,282,Lijnbaansgracht,Netherlands,1017 RM,Fietsenwinkel & Fietsenmaker Leidseplein | Het Zwarte Fietsenplan,"Lijnbaansgracht 282, 1017 RM Amsterdam, Netherlands",3.5,98,52.3620082,4.8866042,https://www.google.com/maps/place/?q=place_id:ChIJsV54UekJxkcR8L1getsxrGU
Van Leeuwen Tweewielers B.V.,batavus,http://www.leeuwen2wielers.nl,ChIJEal3GYtMxEcR-Zc3waiyApc,37,Emmastraat,Netherlands,3181 GC,Tweewielers Van Leeuwen,"Emmastraat 37, 3181 GC Rozenburg, Netherlands",5.0,6,51.9059445,4.2440285,https://www.google.com/maps/place/?q=place_id:ChIJEal3GYtMxEcR-Zc3waiyApc
Bikestore Den Helder,batavus,http://www.bikestores.nl,ChIJCUfNDxFIz0cRXtzzoQ88D_g,9,Vrede en Vrijheid,Netherlands,1785 RL,Bikestore Den Helder,"Vrede en Vrijheid 9, 1785 RL Den Helder, Netherlands",4.7,23,52.9360345,4.7707822,https://www.google.com/maps/place/?q=place_id:ChIJCUfNDxFIz0cRXtzzoQ88D_g
Pals Tweewielers,batavus,http://www.palstweewielers.nl,ChIJcxEr44vCt0cRL4cLTBg66e0,151,Weerdingerkanaal Zuidzijde,Netherlands,7831 AJ,Pals Tweewielers,"Weerdingerkanaal Zuidzijde 151, 7831 AJ Nieuw-Weerdinge, Netherlands",3.9,12,52.8569629,6.9865745,https://www.google.com/maps/place/?q=place_id:ChIJcxEr44vCt0cRL4cLTBg66e0
Reerink Rijwielen,batavus,http://www.reerinkrijwielen.nl,ChIJX4HcMPqjx0cR6ubFqOOzbH8,90,Dorpstraat,Netherlands,6931 BM,Reerink Bicycles,"Dorpstraat 90, 6931 BM Westervoort, Netherlands",4.7,78,51.9634014,5.9693254,https://www.google.com/maps/place/?q=place_id:ChIJX4HcMPqjx0cR6ubFqOOzbH8
Kuijpers Tweewielers,batavus,http://www.kuijperstweewielers.nl,ChIJ66-w6ekjx0cRxfKZc1peUIY,2-G,Heistraat,Netherlands,5701 HN,Kuijpers Tweewielers Helmond,"Heistraat 2-G, 5701 HN Helmond, Netherlands",4.8,61,51.4828948,5.6674923,https://www.google.com/maps/place/?q=place_id:ChIJ66-w6ekjx0cRxfKZc1peUIY
Rijwielhandel Jaspers,batavus,fietsenwinkels/limburg/roermond/jaspers-rijwielbedrijf,ChIJq6cP5qtMx0cRJhuiu3Ra200,2,Heuvel,Netherlands,6042 JT,Rijwielhandel Jaspers,"Heuvel 2, 6042 JT Roermond, Netherlands",4.6,143,51.1973579,6.0129533,https://www.google.com/maps/place/?q=place_id:ChIJq6cP5qtMx0cRJhuiu3Ra200
Rijwielhandel Van Tunen,batavus,http://www.rijwielhandelvantunen.nl,ChIJcRy_rYzwxUcRN3l0QwmnT70,136,Plantage,Netherlands,1943 LR,Bike Totaal van Tunen - Fietsenwinkel en fietsreparatie,"Plantage 136, 1943 LR Beverwijk, Netherlands",4.2,16,52.4894813,4.6503123,https://www.google.com/maps/place/?q=place_id:ChIJcRy_rYzwxUcRN3l0QwmnT70
Orie Rijwielen,batavus,http://www.orierijwielen.nl,ChIJ200Tc6KxxUcRgMIgh9O8NAs,679,Loosduinse Hoofdstraat,Netherlands,2552 AG,Orie Bicycles,"Loosduinse Hoofdstraat 679, 2552 AG Den Haag, Netherlands",4.4,124,52.0521473,4.2302449,https://www.google.com/maps/place/?q=place_id:ChIJ200Tc6KxxUcRgMIgh9O8NAs
Metropool Tweewielers B.V.,batavus,e-bike-expert/fietsenwinkel/limburg/venlo/metropool-bv,ChIJhVS9jL9ax0cRNhduS5VdWr4,27c,Straelseweg,Netherlands,5911 CL,Metropool fietsen,"Straelseweg 27c, 5911 CL Venlo, Netherlands",4.5,153,51.3733729,6.1758125,https://www.google.com/maps/place/?q=place_id:ChIJhVS9jL9ax0cRNhduS5VdWr4
George Vlaar Tweewielers,batavus,http://www.georgevlaar.nl,ChIJA1eFwwT4xUcRPd9YvS2LP2I,65,Stationsweg,Netherlands,1851 LJ,George Vlaar Tweewielers,"Stationsweg 65, 1851 LJ Heiloo, Netherlands",3.8,21,52.5998889,4.7044753,https://www.google.com/maps/place/?q=place_id:ChIJA1eFwwT4xUcRPd9YvS2LP2I
Tweewieler Specialist A. De Vries,batavus,fietsenwinkels/friesland/oosterwolde/de-fietsspecialist-andre-vries,ChIJuU0L42NHyEcR0dlkGt__w6c,4,Brinkstraat,Netherlands,8431 LC,Profile André de Vries,"Brinkstraat 4, 8431 LC Oosterwolde, Netherlands",4.4,9,52.9926548,6.2934352,https://www.google.com/maps/place/?q=place_id:ChIJuU0L42NHyEcR0dlkGt__w6c
Slotboom Tweewielers B.V.,batavus,http://www.slotboomtweewielers.nl,ChIJA0W0YaiPx0cRKIRcTmFozfc,11,Kieftendorp,Netherlands,7255 MG,Slotboom Tweewielers,"Kieftendorp 11, 7255 MG Hengelo, Netherlands",4.6,81,52.0532085,6.3542267,https://www.google.com/maps/place/?q=place_id:ChIJA0W0YaiPx0cRKIRcTmFozfc
Rijwielhandel Luinstra,batavus,fietsenwinkels/friesland/kollum/luinstra-fietsen,ChIJN4FdhHyyyUcRygfVLvlOZXU,108,Voorstraat,Netherlands,9291 CN,Rijwielhandel Luinstra,"Voorstraat 108, 9291 CN Kollum, Netherlands",4.6,38,53.2802473,6.1524134,https://www.google.com/maps/place/?q=place_id:ChIJN4FdhHyyyUcRygfVLvlOZXU
Schouten Tweewielers V.O.F.,batavus,,ChIJ_bvRzopjxkcRUxzRtPHTlyA,10,Lombardstraat,Netherlands,4132 VH,Schouten Tweewielers V.O.F.,"Lombardstraat 10, 4132 VH Vianen, Netherlands",5.0,29,51.9947972,5.0913381,https://www.google.com/maps/place/?q=place_id:ChIJ_bvRzopjxkcRUxzRtPHTlyA
"Harry Van Olst, Tweewielers",batavus,http://www.harryvanolst-tweewielers.nl,ChIJ5xYCreT2x0cRUXxLykxa4eI,46,Blinde Banisweg,Netherlands,7462 VJ,Harry van Olst Tweewielers,"Blinde Banisweg 46, 7462 VJ Rijssen, Netherlands",4.9,26,52.3040512,6.5106934,https://www.google.com/maps/place/?q=place_id:ChIJ5xYCreT2x0cRUXxLykxa4eI
Rijwielhandel Van Der Aa,batavus,http://www.karelvanderaa.nl,ChIJQad6GW2CxkcRctk7KYt-S_k,380,Rivierdijk,Netherlands,3361 AX,Van der Aa & Zn. Tweewielers,"Rivierdijk 380, 3361 AX Sliedrecht, Netherlands",4.7,26,51.8168109,4.7880311,https://www.google.com/maps/place/?q=place_id:ChIJQad6GW2CxkcRctk7KYt-S_k
Bike Totaal Haijma,batavus,fietsenwinkels/friesland/stiens/bike-totaal-haijma,ChIJddQlhXoCyUcRMfUPj5v2LkU,18,Langebuorren,Netherlands,9051 BG,Bike Totaal Haijma - Fietsenwinkel en fietsreparatie,"Langebuorren 18, 9051 BG Stiens, Netherlands",4.7,44,53.2603254,5.7595298,https://www.google.com/maps/place/?q=place_id:ChIJddQlhXoCyUcRMfUPj5v2LkU
Joop Zandberg Rijwielen,batavus,http://www.joopzandberg.nl,ChIJc6EwODT4yEcRFH3ZmfmLXgk,14,Oedsmawei,Netherlands,9001 ZJ,Joop Zandberg Rijwielen,"Oedsmawei 14, 9001 ZJ Grou, Netherlands",4.4,43,53.0937232,5.8274835,https://www.google.com/maps/place/?q=place_id:ChIJc6EwODT4yEcRFH3ZmfmLXgk
Verboven Tweewielers B.V.,batavus,http://www.verboventweewielers.nl,ChIJc4WQuCj6xkcRk4rTOtDUBh4,29-31,Marktplein,Netherlands,5397 EV,Bike Totaal Verboven Tweewielers Lith - Fietsenwinkel en fietsreparatie,"Marktplein 29-31, 5397 EV Lith, Netherlands",4.9,35,51.8068179,5.4398248,https://www.google.com/maps/place/?q=place_id:ChIJc4WQuCj6xkcRk4rTOtDUBh4
Fietsvoordeelshop Eindhoven,batavus,http://www.fietsvoordeelshop.nl,ChIJw5i9z2LZxkcRY_XOn5xNQPs,2,Steijgerweg,Netherlands,5616 HS,Fietsvoordeelshop.nl - Eindhoven,"Steijgerweg 2, 5616 HS Eindhoven, Netherlands",4.0,167,51.4358674,5.4528334,https://www.google.com/maps/place/?q=place_id:ChIJw5i9z2LZxkcRY_XOn5xNQPs
Uniek Tweewielers B.V.,batavus,,ChIJIY2ejzNvxkcR-jCzvE4u-o4,7,Kapteynlaan,Netherlands,3571 XK,Uniek Tweewielers,"Kapteynlaan 7, 3571 XK Utrecht, Netherlands",4.6,20,52.1071028,5.1356290,https://www.google.com/maps/place/?q=place_id:ChIJIY2ejzNvxkcR-jCzvE4u-o4
Van Der Lugt Tweewielerservice,batavus,http://www.vanderlugttweewielerservice.nl,ChIJE6VkHvutxUcR8UDcKVbp54w,30,Herenstraat,Netherlands,2681 BH,Van der Lugt Tweewielerservice,"Herenstraat 30, 2681 BH Monster, Netherlands",4.8,102,52.0215791,4.1705663,https://www.google.com/maps/place/?q=place_id:ChIJE6VkHvutxUcR8UDcKVbp54w
Tweewielercentrum Schiedam,batavus,http://www.2wcs.nl,ChIJD5_vllU1xEcR6zWBJ8ELbDI,31,Willem Barentszstraat,Netherlands,3124 LC,Tweewielercentrum Schiedam,"Willem Barentszstraat 31, 3124 LC Schiedam, Netherlands",4.5,35,51.9377502,4.3824920,https://www.google.com/maps/place/?q=place_id:ChIJD5_vllU1xEcR6zWBJ8ELbDI
Haagse Bike Express,batavus,http://www.haagsebikeexpress.nl,ChIJcVsOXiCxxUcRWJ2Vwkg7JM4,217,Stevinstraat,Netherlands,2587 EG,Haagse Bike Express,"Stevinstraat 217, 2587 EG Den Haag, Netherlands",4.7,31,52.1112524,4.2944057,https://www.google.com/maps/place/?q=place_id:ChIJcVsOXiCxxUcRWJ2Vwkg7JM4
Mantel Den Bosch B.V.,batavus,http://www.mantel.com,ChIJs2jO37XvxkcRH3b_SsbT2hU,7,Balkweg,Netherlands,5232 BT,Mantel Den Bosch,"Balkweg 7, 5232 BT 's-Hertogenbosch, Netherlands",4.3,678,51.7091256,5.3343383,https://www.google.com/maps/place/?q=place_id:ChIJs2jO37XvxkcRH3b_SsbT2hU
Bike Totaal Jos Van Hees,batavus,http://www.josvanhees.nl,ChIJ4xhBc_EIx0cRhNDgS8wOHaE,22,Geert Grooteplein Zuid,Netherlands,6525 GA,Bike Total Jos van Hees,"Geert Grooteplein Zuid 22, 6525 GA Nijmegen, Netherlands",3.0,52,51.8235915,5.8622538,https://www.google.com/maps/place/?q=place_id:ChIJ4xhBc_EIx0cRhNDgS8wOHaE
Herman Van Der Meulen,batavus,http://www.hermanvandermeulen.nl,ChIJ-a_DwubKyUcRk3A-7pe_Wys,32,Jellemaweg,Netherlands,9801 CK,Herman van der Meulen,"Jellemaweg 32, 9801 CK Zuidhorn, Netherlands",4.4,25,53.2438133,6.4047476,https://www.google.com/maps/place/?q=place_id:ChIJ-a_DwubKyUcRk3A-7pe_Wys
Huisman Tweewieler B.V.,batavus,http://www.huismanleiden.nl,ChIJ3V_Iho7GxUcR2MrlV0pHgOM,76,Levendaal,Netherlands,2311 JM,Huisman Tweewieler B.V.,"Levendaal 76, 2311 JM Leiden, Netherlands",3.9,38,52.1549855,4.4958554,https://www.google.com/maps/place/?q=place_id:ChIJ3V_Iho7GxUcR2MrlV0pHgOM
Bike Totaal Leenders,batavus,http://www.biketotaalleenders.nl,ChIJK8-OD5igx0cRj6gNu_cQLBk,25,Dorpstraat,Netherlands,6691 AW,Bike Totaal Leenders - Fietsenwinkel en fietsreparatie,"Dorpstraat 25, 6691 AW Gendt, Netherlands",4.8,10,51.8802553,5.9707191,https://www.google.com/maps/place/?q=place_id:ChIJK8-OD5igx0cRj6gNu_cQLBk
Leensvaart Rijwielen B.V.,batavus,http://www.leensvaart.nl,ChIJLUgJFiBMxEcRy1SqDUYS0fU,3,Nico de regtplein,Netherlands,3218 XK,Bike Totaal Leensvaart Rijwielen - Fietsenwinkel en fietsreparatie,"Nico de regtplein 3, 3218 XK Heenvliet, Netherlands",4.7,88,51.8614624,4.2382003,https://www.google.com/maps/place/?q=place_id:ChIJLUgJFiBMxEcRy1SqDUYS0fU
Bike Store Kuiper B.V.,batavus,http://www.fietsmarktplaats.nl,ChIJa5xvSADSyUcRLOKRTpwa3mk,9,Verbindingsweg,Netherlands,9781 DA,Bike Store Kuiper,"Verbindingsweg 9, 9781 DA Bedum, Netherlands",3.8,50,53.2937340,6.5964005,https://www.google.com/maps/place/?q=place_id:ChIJa5xvSADSyUcRLOKRTpwa3mk
Reekers Rijwielen De Laaresch,batavus,http://www.reekerstweewielers.nl,ChIJH-vMERIUuEcRSbkGJzMf3iw,122,Minkmaatstraat,Netherlands,7514 EG,Reekers Rijwielen De Laaresch,"Minkmaatstraat 122, 7514 EG Enschede, Netherlands",4.2,38,52.2279135,6.9037959,https://www.google.com/maps/place/?q=place_id:ChIJH-vMERIUuEcRSbkGJzMf3iw
